CID,Checker,Category,Type,Impact,Severity,CVSS score,Event Description,Vulnerable line number,Defect remediation guidance,CWE,OWASP,FilePathname
160733,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.CSRFLogin.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",26,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/csrf/src/main/java/org/owasp/webgoat/plugin/CSRFLogin.java
160734,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded cryptographic key,Medium,Unspecified,7.67,"""io.jsonwebtoken.JwtParser.setSigningKey(java.lang.String)"" uses the constant string as a cryptographic key.",120,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,321,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTVotesEndpoint.java
160736,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.advanced.SqlInjectionLesson6b.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",55,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6b.java
160737,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.QuestionsAssignment.passwordReset"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",40,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/password-reset/src/main/java/org/owasp/webgoat/plugin/QuestionsAssignment.java
160738,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Failing to save or close resource created by ""new java.io.FileOutputStream(new java.io.File(targetDirectory, ""employees.xml""))"" leaks it.",46,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",404,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/client-side-filtering/src/main/java/org/owasp/webgoat/plugin/Salaries.java
160739,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.ClientSideFilteringAssignment.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",50,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/client-side-filtering/src/main/java/org/owasp/webgoat/plugin/ClientSideFilteringAssignment.java
160740,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded cryptographic key,Medium,Unspecified,7.67,"""io.jsonwebtoken.JwtParser.setSigningKey(java.lang.String)"" uses the constant string as a cryptographic key.",97,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,321,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTVotesEndpoint.java
160741,SINGLETON_RACE,Concurrent data access violations,Thread unsafe modification in singleton,High,Unspecified,4.25,"In call to ""ws.setCurrentLesson((org.owasp.webgoat.lessons.AbstractLesson)lesson.get())"", ""this.ws"" is modified without proper synchronization. This member might be written by multiple threads serving simultaneous requests, leading to unpredictable behavior.",86,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,543,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/controller/StartLesson.java
160742,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""org.owasp.webgoat.plugin.challenge6.Assignment6.USERS_TABLE_NAME"" is not a constant literal. Passing the tainted command to the SQL API ""java.sql.Connection.prepareStatement(java.lang.String)"" may allow an attacker to inject SQL.",84,"Perform the following to guard against SQL table name injection attacks with JDBC prepared statements.
* Define constant string values for the table or column names.
* Validate user-supplied parameters against these constant values.
* If valid, concatenate these constant values to the SQL statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
160743,CSRF,High impact security,Cross-site request forgery,High,Moderate,9.89,"""org.owasp.webwolf.user.RegistrationController.registration"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",36,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webwolf/src/main/java/org/owasp/webwolf/user/RegistrationController.java
160744,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",134,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",404,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
160745,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.ForgedReviews.createNewReview"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",97,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/csrf/src/main/java/org/owasp/webgoat/plugin/ForgedReviews.java
160746,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.IDORLogin.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",68,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/idor/src/main/java/org/owasp/webgoat/plugin/IDORLogin.java
160747,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.StoredCrossSiteScriptingVerifier.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",52,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/StoredCrossSiteScriptingVerifier.java
160748,HARDCODED_CREDENTIALS,Medium impact security,Use of hard-coded cryptographic key,Medium,Unspecified,7.67,"""io.jsonwebtoken.JwtParser.setSigningKey(java.lang.String)"" uses the constant string as a cryptographic key.",35,Cryptographic keys should be stored in a Properties file in a location that is inaccessible to unauthorized users.,321,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTSecretKeyEndpoint.java
160749,SQLI,High impact security,SQL injection,High,Moderate,9.58,"Insecure concatenation of a SQL statement. The value ""username_reg"" is tainted.",50,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"username_reg"""")"".
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
160750,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.CrossSiteScriptingLesson1.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",51,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/CrossSiteScriptingLesson1.java
160751,WEAK_PASSWORD_HASH,Medium impact security,Hashing a password with a weak hash function,Medium,Unspecified,9.58,"Hashing a password using a computationally cheap cryptographic hash function. An attacker can compute more hashes per second with a cheaper function than with a more expensive function; therefore, if such password hashes leak to an attacker, they can recover more passwords in less time.",71,"The recommended method of hashing sensitive password data is to generate a random sequence of bytes (a ""salt"") for each password to hash, hash the password and the salt with an adaptive hash function such as bcrypt, scrypt, and PBKDF2 (Password-Based Key Derivation Function 2), and then store the hash and the salt for subsequent password checks.",916,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/missing-function-ac/src/main/java/org/owasp/webgoat/plugin/DisplayUser.java
160752,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.mitigation.Servers.sort"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",44,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/mitigation/Servers.java
160753,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.CSRFFeedback.flag"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",57,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/csrf/src/main/java/org/owasp/webgoat/plugin/CSRFFeedback.java
160754,PATH_MANIPULATION,High impact security,"Filesystem path, filename, or URI manipulation",High,Major,9.89,"Constructing a path or URI using the tainted value ""myFile.getOriginalFilename()"". This may allow an attacker to access, modify, or test the existence of critical or sensitive files.",47,"Path manipulation vulnerabilities can be addressed by proper input validation. Blacklisting characters that allow unsafe path traversal can improve the safety of the input, but the recommended approach is to whitelist the set of expected characters. This should exclude absolute paths and upward directory traversal.",22,A5-Broken Access Control,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webwolf/src/main/java/org/owasp/webwolf/FileServer.java
160755,SQLI,High impact security,SQL injection,High,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""accountName"" is tainted.",62,"Perform one of the following to guard against SQL string injection attacks with JDBC.
* Refactor the JDBC code to use the ""PreparedStatement"" API instead of ""Statement"".
* Add a positional parameter to the SQL statement using ""?"".
* Bind the tainted value to the parameter using the ""setString"" method: ""PreparedStatement.setString(1, """"accountName"""")"".
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6a.java
160756,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.InsecureLoginTask.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",53,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/insecure-login/src/main/java/org/owasp/webgoat/plugin/InsecureLoginTask.java
160758,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""org.owasp.webgoat.plugin.challenge6.Assignment6.USERS_TABLE_NAME"" is not a constant literal. Passing the tainted command to the SQL API ""java.sql.Statement.execute(java.lang.String)"" may allow an attacker to inject SQL.",99,"Perform the following to guard against SQL table name injection attacks with JDBC.
* Define constant string values for the table or column names.
* Validate user-supplied parameters against these constant values.
* If valid, concatenate these constant values to the SQL statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/challenge6/Assignment6.java
160759,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.MailAssignment.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",56,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/webwolf-introduction/src/main/java/org/owasp/webgoat/plugin/MailAssignment.java
160762,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""org.owasp.webgoat.plugin.advanced.SqlInjectionChallenge.USERS_TABLE_NAME"" is not a constant literal. Passing the tainted command to the SQL API ""java.sql.Statement.execute(java.lang.String)"" may allow an attacker to inject SQL.",84,"Perform the following to guard against SQL table name injection attacks with JDBC.
* Define constant string values for the table or column names.
* Validate user-supplied parameters against these constant values.
* If valid, concatenate these constant values to the SQL statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
160763,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.CSRFConfirmFlag1.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",25,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/csrf/src/main/java/org/owasp/webgoat/plugin/CSRFConfirmFlag1.java
160764,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.advanced.SqlInjectionLesson6a.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",53,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6a.java
160765,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.BypassRestrictionsFrontendValidation.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",53,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/bypass-restrictions/src/main/java/org/owasp/webgoat/plugin/BypassRestrictionsFrontendValidation.java
160766,CSRF,High impact security,Cross-site request forgery,High,Moderate,9.89,"""org.owasp.webgoat.users.RegistrationController.registration"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",36,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/users/RegistrationController.java
160767,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.ContentTypeAssignment.createNewUser"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",62,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/xxe/src/main/java/org/owasp/webgoat/plugin/ContentTypeAssignment.java
160768,CSRF,High impact security,Cross-site request forgery,High,Moderate,9.89,"""org.owasp.webgoat.service.RestartLessonService.restartLesson"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",58,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-container/src/main/java/org/owasp/webgoat/service/RestartLessonService.java
160769,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.HtmlTamperingTask.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",54,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/html-tampering/src/main/java/org/owasp/webgoat/plugin/HtmlTamperingTask.java
160770,SQLI,High impact security,SQL injection,High,Major,9.58,"Insecure concatenation of a SQL statement. The value ""column"" is tainted. Passing the tainted command to the SQL API ""java.sql.Connection.prepareStatement(java.lang.String)"" may allow an attacker to inject SQL.",46,"Perform the following to guard against SQL identifier injection attacks with JDBC prepared statements.
* Define constant string values for the identifiers.
* Validate user-supplied parameters against these constant values.
* If valid, concatenate these constant values to the SQL statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/mitigation/Servers.java
160771,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.IDORViewOwnProfileAltUrl.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",58,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/idor/src/main/java/org/owasp/webgoat/plugin/IDORViewOwnProfileAltUrl.java
160772,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.DOMCrossSiteScriptingVerifier.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",55,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/DOMCrossSiteScriptingVerifier.java
160773,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.VulnerableComponentsLesson.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",53,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/vulnerable-components/src/main/java/org/owasp/webgoat/plugin/VulnerableComponentsLesson.java
160774,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.ClientSideFilteringFreeAssignment.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",27,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/client-side-filtering/src/main/java/org/owasp/webgoat/plugin/ClientSideFilteringFreeAssignment.java
160776,SQL_NOT_CONSTANT,Audit impact security,Non-constant SQL,Audit,Unspecified,9.58,"Insecure concatenation of a SQL statement. The value ""org.owasp.webgoat.plugin.advanced.SqlInjectionChallenge.USERS_TABLE_NAME"" is not a constant literal.",49,"Perform the following to guard against SQL table name injection attacks with JDBC.
* Define constant string values for the table or column names.
* Validate user-supplied parameters against these constant values.
* If valid, concatenate these constant values to the SQL statement.
",89,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionChallenge.java
160777,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.JWTVotesEndpoint.resetVotes"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",137,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/jwt/src/main/java/org/owasp/webgoat/plugin/JWTVotesEndpoint.java
160778,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.IDOREditOtherProfiile.completed"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",50,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/idor/src/main/java/org/owasp/webgoat/plugin/IDOREditOtherProfiile.java
160779,RESOURCE_LEAK,Resource leaks,Resource leak,High,Unspecified,5.35,"Variable ""statement"" going out of scope leaks the resource it refers to.",78,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",404,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/sql-injection/src/main/java/org/owasp/webgoat/plugin/advanced/SqlInjectionLesson6b.java
160780,CSRF,High impact security,Cross-site request forgery,High,Unspecified,9.89,"""org.owasp.webgoat.plugin.Flag.postFlag"" is a web-app entry point that requires protection from cross-site request forgery (CSRF).",58,"Protection against CSRF attacks involves several steps.

1. Generate a cryptographically random token that is associated with a user's session.  The java.security.SecureRandom class is well suited for this purpose.
2. Pass this token with any requests that should be protected from cross-site requests that originate from malicious code running in a user's browser.
3. Reject any requests that have a missing or invalid token, for example by adding a CSRF filter to the servlet filter chain.",352,A1-Injection,/Users/bian/Downloads/WebGoat-8.0.0-2.M25/webgoat-lessons/challenge/src/main/java/org/owasp/webgoat/plugin/Flag.java
